100000 742134 109219 1.24382e+06 0 9.39932e+51 4.45144e+14 1.54944e+11 0.239721 -1.54881e+33 0.984221 1.68974e+07 1.56213e+07
125000 -156086 -214654 1.29474e+06 0 9.39932e+51 4.44012e+14 1.53897e+11 0.239553 -1.78533e+33 0.97986 1.68974e+07 1.56213e+07
150000 534549 12748.3 1.21491e+06 0 9.39932e+51 4.41952e+14 1.53332e+11 0.239443 -2.32371e+33 0.979898 1.68974e+07 1.56213e+07
175000 988559 42810.7 1.1409e+06 0 9.39932e+51 4.38865e+14 1.54306e+11 0.239604 -2.17523e+33 0.990863 1.68974e+07 1.56213e+07
200000 1.16932e+06 -50960.6 1.13166e+06 0 9.39932e+51 4.3646e+14 1.55318e+11 0.23964 -2.20069e+33 1.0009 1.68974e+07 1.56213e+07
225000 1.4229e+06 20109.4 1.08593e+06 0 9.39932e+51 4.3299e+14 1.56438e+11 0.239773 -2.01469e+33 1.01367 1.68974e+07 1.56213e+07
250000 1.5321e+06 8400.14 1.09198e+06 0 9.39932e+51 4.29906e+14 1.57654e+11 0.239763 -1.90362e+33 1.02632 1.68974e+07 1.56213e+07
275000 2.72777e+06 -20580.7 1.0831e+06 0 9.39932e+51 4.26441e+14 1.59185e+11 0.239812 -2.0953e+33 1.04161 1.68974e+07 1.56213e+07
300000 4.1936e+06 8560.17 1.05297e+06 0 9.39932e+51 4.21797e+14 1.62024e+11 0.239999 -1.83813e+33 1.06693 1.68974e+07 1.56213e+07
325000 4.69838e+06 29981.6 1.1212e+06 0 9.39932e+51 4.16521e+14 1.64629e+11 0.240109 -2.08542e+33 1.09231 1.68974e+07 1.56213e+07
350000 5.91979e+06 14395.3 1.11355e+06 0 9.39932e+51 4.11178e+14 1.66791e+11 0.24023 -2.19925e+33 1.11609 1.68974e+07 1.56213e+07
375000 7.08091e+06 34443.1 1.15014e+06 0 9.39932e+51 4.04872e+14 1.6942e+11 0.240275 -2.25427e+33 1.1448 1.68974e+07 1.56213e+07
400000 8.40307e+06 22701.7 1.13573e+06 0 9.39932e+51 3.98726e+14 1.72424e+11 0.240385 -2.49498e+33 1.17569 1.68974e+07 1.56213e+07
425000 9.04444e+06 89047.6 1.17843e+06 0 9.39932e+51 3.915e+14 1.75473e+11 0.240364 -2.79727e+33 1.20973 1.68974e+07 1.56213e+07
450000 8.63729e+06 135926 1.30803e+06 0 9.39932e+51 3.84587e+14 1.78223e+11 0.24026 -2.38539e+33 1.24177 1.68974e+07 1.56213e+07
475000 8.69338e+06 135868 1.35952e+06 0 9.39932e+51 3.77478e+14 1.80756e+11 0.240141 -2.6406e+33 1.27321 1.68974e+07 1.56213e+07
500000 9.1065e+06 184693 1.62439e+06 0 9.39932e+51 3.69761e+14 1.82278e+11 0.239788 -2.23899e+33 1.30029 1.68974e+07 1.56213e+07
525000 8.2282e+06 278430 1.83893e+06 0 9.39932e+51 3.61426e+14 1.82928e+11 0.239288 -1.96576e+33 1.32435 1.68974e+07 1.56213e+07
550000 8.84916e+06 262364 1.91326e+06 0 9.39932e+51 3.54433e+14 1.8369e+11 0.238831 -2.40793e+33 1.34631 1.68974e+07 1.56213e+07
575000 1.06214e+07 287097 1.90013e+06 0 9.39932e+51 3.46057e+14 1.84673e+11 0.238241 -2.33341e+33 1.37367 1.68974e+07 1.56213e+07
600000 1.34977e+07 318994 2.04161e+06 0 9.39932e+51 3.37353e+14 1.85617e+11 0.237582 -2.65427e+33 1.4023 1.68974e+07 1.56213e+07
625000 1.84492e+07 411827 2.22666e+06 0 9.39932e+51 3.27538e+14 1.8702e+11 0.236944 -2.39735e+33 1.43807 1.68974e+07 1.56213e+07
650000 2.65854e+07 416570 2.28851e+06 0 9.39932e+51 3.17359e+14 1.88779e+11 0.236121 -1.77987e+33 1.47862 1.68974e+07 1.56213e+07
675000 3.35772e+07 496445 2.34338e+06 0 9.39932e+51 3.05415e+14 1.92044e+11 0.23514 -1.03608e+33 1.53546 1.68974e+07 1.56213e+07
700000 4.18294e+07 473555 2.48627e+06 0 9.39932e+51 2.9374e+14 1.96353e+11 0.233982 -7.82427e+32 1.60032 1.68974e+07 1.56213e+07
725000 5.74959e+07 579912 2.43325e+06 0 9.39932e+51 2.80946e+14 2.01632e+11 0.232908 8.52634e+32 1.67864 1.68974e+07 1.56213e+07
750000 8.58976e+07 441819 2.51212e+06 0 9.39932e+51 2.66704e+14 2.09657e+11 0.231815 -1.46953e+33 1.7836 1.68974e+07 1.56213e+07
775000 1.22796e+08 277740 2.24006e+06 0 9.39932e+51 2.49551e+14 2.16967e+11 0.231117 5.73119e+31 1.90534 1.68974e+07 1.56213e+07
